Exposure.ID,wasp.lineage,wasp.age.days,host.species,host.plant,pupa.mass,pupa.age.days,attempted2,wasp_success,bfly_success,attempted_binary,host.fate.no8,start3
ok1g,P. cassotis,14.09,D. plexippus,A. curassavica,1.23,0,2,1,0,Attempt,Wasps emerged,0013-10
PC16.4.4.1,P. cassotis,14.097,D. plexippus,A. incarnata,1.145,0.472222222,2,1,0,Attempt,Wasps emerged,0016-04
PCO16.8.25.1,P. cassotis,14.146,D. plexippus,A. curassavica,0.922,0.171527778,1d,0,0,Attempt,"Dead butterfly, no wasps",0016-08
PCO16.8.25.2,P. cassotis,14.146,D. plexippus,A. curassavica,1.174,0.208333333,0,0,1,No attempt,Butterfly,0016-08
PCO16.8.25.3,P. cassotis,14.146,D. plexippus,A. curassavica,1.121,0.172222222,1d,0,0,Attempt,"Dead butterfly, no wasps",0016-08
PC16.2.7.1,P. cassotis,14.174,D. plexippus,A. curassavica,1.234,0.048611111,2,1,0,Attempt,Wasps emerged,0016-02
PC14.9.4.5,P. cassotis,14.25,D. plexippus,A. incarnata,1.23,0.166666667,0,0,1,No attempt,Butterfly,0014-09
BEC.2.8.1.W,P. cassotis,14.271,D. plexippus,A. curassavica,0.851,0.020833333,2,1,0,Attempt,Wasps emerged,0016-02
PCO16.9.19.1,P. cassotis,14.417,D. plexippus,A. curassavica,0.861,0.208333333,1d,0,0,Attempt,Dead wasps in host,0016-09
PCN16.9.28.3,P. cassotis,14.479,D. plexippus,A. curassavica,1.451,0.916666609,2,1,0,Attempt,Wasps emerged,0016-09
w18,P. puparum,14.677,D. plexippus,A. curassavica,0.81,0.59375,0,0,1,No attempt,Butterfly,0013-10
5c6m,P. puparum,14.938,D. plexippus,A. curassavica,1.06,0.708333333,0,0,1,No attempt,Butterfly,0013-09
5c6n,P. puparum,14.938,D. plexippus,A. curassavica,1.06,0.708333333,0,0,1,No attempt,Butterfly,0013-09
5c6o,P. puparum,14.938,D. plexippus,A. curassavica,NA,0.708333333,0,0,0,No attempt,"Dead butterfly, no wasps",0013-09
5c6p,P. puparum,14.938,D. plexippus,A. incarnata,1.03,0.708333333,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
PC14.8.1.2,P. cassotis,14.941,D. plexippus,A. curassavica,1.08,0.940972222,0,0,0,No attempt,"Dead butterfly, no wasps",0014-08
5c11e,P. puparum,14.979,D. plexippus,A. curassavica,1.04,0.604166667,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
ok1j,P. cassotis,15.014,D. plexippus,A. curassavica,1.09,0.003472222,1b,0,1,Attempt,Butterfly,0013-10
PCO16.4.16.1,P. cassotis,15.014,D. plexippus,A. incarnata,NA,0.513888889,0,0,0,No attempt,"Dead butterfly, no wasps",0016-04
PCO16.4.16.2,P. cassotis,15.014,D. plexippus,A. incarnata,1.284,0.513888889,2,1,0,Attempt,Wasps emerged,0016-04
5c11f,P. puparum,15.042,D. plexippus,A. incarnata,0.81,0.041666667,0,0,1,No attempt,Butterfly,0013-09
PC14.9.15.1,P. cassotis,15.056,D. plexippus,A. curassavica,1.12,0.680555556,2,1,0,Attempt,Wasps emerged,0014-09
ok1k,P. cassotis,15.118,D. plexippus,A. curassavica,0.97,-0.020833333,2,1,0,Attempt,Wasps emerged,0013-10
PCO16.8.26.3,P. cassotis,15.125,D. plexippus,A. incarnata,1.173,0.013888889,0,0,1,No attempt,Butterfly,0016-08
5c4k,P. puparum,15.156,D. plexippus,A. curassavica,0.95,0.666666667,0,0,1,No attempt,Butterfly,0013-09
5c4l,P. puparum,15.156,D. plexippus,A. curassavica,1.01,0.666666667,0,0,1,No attempt,Butterfly,0013-09
PC16.4.7.1,P. cassotis,15.208,D. plexippus,A. incarnata,0.969,0.020833333,2,1,0,Attempt,Wasps emerged,0016-04
C26,P. cassotis,15.229,D. plexippus,A. curassavica,1.1,0.395833333,0,0,1,No attempt,Butterfly,0014-07
C27,P. cassotis,15.229,D. plexippus,A. curassavica,1.24,0.395833333,1b,0,1,Attempt,Butterfly,0014-07
C28,P. cassotis,15.229,D. plexippus,A. curassavica,1.33,0.104166667,0,0,1,No attempt,Butterfly,0014-07
C29,P. cassotis,15.229,D. plexippus,A. curassavica,1.31,0.104166667,0,0,1,No attempt,Butterfly,0014-07
C30,P. cassotis,15.229,D. plexippus,A. curassavica,1.28,0.0625,2,1,0,Attempt,Wasps emerged,0014-07
C31,P. cassotis,15.229,D. plexippus,A. curassavica,1.24,0.0625,2,1,0,Attempt,Wasps emerged,0014-07
C32,P. cassotis,15.229,D. plexippus,A. curassavica,1.53,0.052083333,0,0,1,No attempt,Butterfly,0014-07
C33,P. cassotis,15.229,D. plexippus,A. curassavica,1.35,0.052083333,2,1,0,Attempt,Wasps emerged,0014-07
C34,P. cassotis,15.229,D. plexippus,A. curassavica,1.29,0.052083333,2,1,0,Attempt,Wasps emerged,0014-07
C35,P. cassotis,15.229,D. plexippus,A. curassavica,1.39,0.017361111,2,1,0,Attempt,Wasps emerged,0014-07
C36,P. cassotis,15.229,D. plexippus,A. curassavica,1,0.013888889,2,1,0,Attempt,Wasps emerged,0014-07
C37,P. cassotis,15.229,D. plexippus,A. curassavica,1.33,0.0125,0,0,1,No attempt,Butterfly,0014-07
C38,P. cassotis,15.229,D. plexippus,A. curassavica,1.29,0.003472222,2,1,0,Attempt,Wasps emerged,0014-07
I26,P. cassotis,15.229,D. plexippus,A. incarnata,1.35,0.145833333,2,1,0,Attempt,Wasps emerged,0014-07
I27,P. cassotis,15.229,D. plexippus,A. incarnata,1.16,0.104166667,2,1,0,Attempt,Wasps emerged,0014-07
