county,geoid,pollutant,noncancer_air_risk,cancer_air_risk,combined_air_score
ANOKA,270030507123,All pollutant sum,0.64,1.59e-5,1.5899999999999999
ANOKA,270030507124,All pollutant sum,0.67,1.62e-5,1.6199999999999999
ANOKA,270030508051,All pollutant sum,0.44,1.26e-5,1.2599999999999998
ANOKA,270030508052,All pollutant sum,0.39,1.05e-5,1.0499999999999998
ANOKA,270030508053,All pollutant sum,0.4,1.11e-5,1.1099999999999999
ANOKA,270030508054,All pollutant sum,0.39,1.04e-5,1.04
ANOKA,270030508061,All pollutant sum,0.5,1.3e-5,1.2999999999999998
ANOKA,270030508062,All pollutant sum,0.51,1.29e-5,1.2899999999999998
ANOKA,270030508063,All pollutant sum,0.6,1.42e-5,1.42
ANOKA,270030508064,All pollutant sum,0.58,1.39e-5,1.39
ANOKA,270030508071,All pollutant sum,0.62,1.44e-5,1.4399999999999997
ANOKA,270030508072,All pollutant sum,0.65,1.48e-5,1.48
ANOKA,270030508073,All pollutant sum,0.72,1.68e-5,1.6799999999999997
ANOKA,270030508074,All pollutant sum,0.67,1.58e-5,1.58
ANOKA,270030508081,All pollutant sum,0.74,1.8e-5,1.7999999999999998
ANOKA,270030508082,All pollutant sum,0.77,1.82e-5,1.8199999999999996
ANOKA,270030508091,All pollutant sum,0.74,1.78e-5,1.7799999999999998
ANOKA,270030508092,All pollutant sum,0.73,1.66e-5,1.66
ANOKA,270030508093,All pollutant sum,0.82,1.92e-5,1.9199999999999997
ANOKA,270030508101,All pollutant sum,0.88,2.09e-5,2.09
ANOKA,270030508102,All pollutant sum,1.01,2.38e-5,2.38
ANOKA,270030508103,All pollutant sum,1.16,2.92e-5,2.92
ANOKA,270030508104,All pollutant sum,0.99,2.42e-5,2.4199999999999995
ANOKA,270030508111,All pollutant sum,1.11,2.6e-5,2.5999999999999996
ANOKA,270030508112,All pollutant sum,1.05,2.25e-5,2.25
ANOKA,270030508113,All pollutant sum,1.04,2.29e-5,2.29
ANOKA,270030508131,All pollutant sum,0.78,1.69e-5,1.69
ANOKA,270030508132,All pollutant sum,0.9,1.88e-5,1.88
ANOKA,270030508133,All pollutant sum,0.78,1.79e-5,1.79
ANOKA,270030508134,All pollutant sum,1.13,2.73e-5,2.7299999999999995
ANOKA,270030508135,All pollutant sum,0.69,1.45e-5,1.45
ANOKA,270030508161,All pollutant sum,0.49,1.09e-5,1.09
ANOKA,270030508162,All pollutant sum,0.63,1.58e-5,1.58
ANOKA,270030508163,All pollutant sum,0.72,1.85e-5,1.8499999999999996
ANOKA,270030508164,All pollutant sum,0.58,1.49e-5,1.4899999999999998
ANOKA,270030508181,All pollutant sum,0.53,1.31e-5,1.3099999999999998
ANOKA,270030508182,All pollutant sum,0.48,1.2e-5,1.2
ANOKA,270030508183,All pollutant sum,0.34,8.56e-6,0.8559999999999999
ANOKA,270030508191,All pollutant sum,0.45,1.04e-5,1.04
ANOKA,270030508192,All pollutant sum,0.48,1.18e-5,1.18
ANOKA,270030508201,All pollutant sum,0.53,1.34e-5,1.3399999999999999
ANOKA,270030508202,All pollutant sum,0.51,1.22e-5,1.22
